sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0273,1.6019373,2.240632352941177,-0.11569671587769514,-0.8994121161400838,normal,1.0
sub-0379,0.44775358,2.6486911764705887,0.16770321117645537,1.3037042486767985,normal,0.0
sub-0003,0.7064322,2.3478382352941174,-0.10521085791911089,-0.8178963390972471,normal,2.0
sub-0405,0.64995295,2.256147058823529,-0.2030021386077263,-1.578113792435983,normal,2.0
sub-0253,0.8289563,2.5806323529411763,0.1408166114318039,1.0946911112796076,normal,0.0
sub-0425,1.112981,2.3241617647058823,-0.08497757315978172,-0.6606052585008829,normal,1.0
sub-0114,1.2073194,2.4118823529411766,0.012932138899960588,0.10053286582937179,normal,1.0
sub-0054,0.42558503,2.631426470588235,0.14804416639330942,1.150877239408934,normal,0.0
sub-0305,1.1471823,2.5295147058823533,0.12406931746523941,0.9644996966675377,normal,0.0
sub-0122,1.2548388,2.3118235294117646,-0.08199429897670063,-0.6374136499433203,normal,1.0
sub-0438,0.64918196,2.3748235294117643,-0.08440893965201202,-0.6561847711719949,normal,2.0
sub-0197,0.5322548,2.405558823529411,-0.06630249350805384,-0.5154274737969405,normal,2.0
sub-0290,0.6190874,2.299588235294118,-0.16289463019658834,-1.26632292836944,normal,2.0
sub-0201,0.52605635,2.262382352941176,-0.21014843458306487,-1.6336682231471986,normal,2.0
sub-0057,0.6565434,2.6136323529411762,0.15519496439271752,1.2064666683045369,normal,0.0
sub-0144,0.28391588,2.5996323529411764,0.1009489146221374,0.7847645132669291,normal,0.0
sub-0102,0.5189157,2.5804705882352947,0.10716856686527088,0.8331153289596204,normal,0.0
sub-0025,0.30889836,2.668823529411765,0.17283835163309735,1.3436242024088243,normal,0.0
sub-0207,0.5548481,2.4840294117647055,0.014608309224231064,0.11356320888558262,normal,0.0
sub-0315,1.0902305,2.3869264705882354,-0.024670060335272304,-0.1917820311762913,normal,1.0
sub-0103,0.66676253,2.6095147058823525,0.15218104583626513,1.1830368341370892,normal,0.0
sub-0022,0.46104458,2.4508382352941176,-0.028714220761458353,-0.22322083961032763,normal,2.0
sub-0431,0.72111607,2.511176470588236,0.05971332508720195,0.4642040845413087,normal,0.0
sub-0244,0.46254194,2.434382352941176,-0.04500837908208899,-0.34988963314265387,normal,2.0
sub-0133,0.46841195,2.497941176470588,0.01918444140657538,0.14913750067628442,normal,2.0
sub-0322,1.0884378,2.411132352941177,-0.0006578005398480968,-0.005113660928527038,normal,1.0
sub-0167,0.9282561,2.482338235294118,0.053247479134750364,0.4139393890690716,normal,0.0
sub-0348,0.5579326,2.7147205882352945,0.2456326305482044,1.9095180218249224,normal,0.0
sub-0442,0.45660865,2.6934558823529415,0.213424318743638,1.659134545875027,normal,0.0
sub-0131,0.59250784,2.557426470588236,0.09207285015532873,0.7157630739043165,normal,0.0
